id,fold,nondamage,minor,major,destroyed,empty
portugal-wildfire_00001606,0,False,False,False,False,True
socal-fire_00001340,0,True,False,False,False,False
tuscaloosa-tornado_00000250,0,True,True,False,False,False
hurricane-florence_00000255,0,False,False,True,False,False
socal-fire_00001270,0,True,False,False,True,False
woolsey-fire_00000331,0,True,False,False,False,False
portugal-wildfire_00001108,0,False,False,False,False,True
portugal-wildfire_00001788,0,False,False,False,False,True
pinery-bushfire_00000294,0,False,False,False,False,True
portugal-wildfire_00001186,0,True,True,True,True,False
woolsey-fire_00000658,0,True,True,True,True,False
hurricane-michael_00000339,0,True,True,True,False,False
midwest-flooding_00000095,0,True,True,False,False,False
socal-fire_00000888,0,False,False,False,False,True
sunda-tsunami_00000047,0,True,False,True,False,False
pinery-bushfire_00000355,0,False,False,False,False,True
portugal-wildfire_00000859,0,False,False,False,False,True
pinery-bushfire_00000515,0,True,False,False,False,False
midwest-flooding_00000132,0,True,True,False,False,False
pinery-bushfire_00001457,0,True,False,False,False,False
hurricane-matthew_00000387,0,False,False,True,True,False
socal-fire_00000014,0,True,False,False,False,False
socal-fire_00001088,0,True,False,False,True,False
nepal-flooding_00000137,0,False,False,False,False,True
portugal-wildfire_00000307,0,True,False,False,False,False
socal-fire_00000932,0,False,False,False,False,True
portugal-wildfire_00001708,0,False,False,False,False,True
tuscaloosa-tornado_00000321,0,False,False,True,False,False
midwest-flooding_00000444,0,True,False,False,False,False
socal-fire_00000467,0,False,False,False,False,True
joplin-tornado_00000017,0,True,False,False,False,False
pinery-bushfire_00000975,0,True,False,False,True,False
santa-rosa-wildfire_00000176,0,True,False,False,True,False
woolsey-fire_00000651,0,False,False,False,False,True
portugal-wildfire_00001252,0,False,False,False,False,True
hurricane-michael_00000313,0,True,True,True,True,False
hurricane-matthew_00000014,0,False,False,False,False,True
nepal-flooding_00000251,0,False,True,True,False,False
socal-fire_00000939,0,False,False,False,False,True
portugal-wildfire_00001595,0,False,False,False,False,True
midwest-flooding_00000153,0,False,False,False,False,True
woolsey-fire_00000230,0,True,True,False,True,False
portugal-wildfire_00001468,0,False,False,False,False,False
socal-fire_00000861,0,True,False,True,True,False
santa-rosa-wildfire_00000344,0,True,False,False,True,False
portugal-wildfire_00001079,0,True,True,False,False,False
pinery-bushfire_00001646,0,False,False,False,False,True
portugal-wildfire_00001400,0,True,False,False,False,False
joplin-tornado_00000007,0,True,True,False,False,False
portugal-wildfire_00000487,0,False,False,False,False,True
socal-fire_00000270,0,False,False,False,False,True
lower-puna-volcano_00000148,0,False,False,False,False,True
hurricane-florence_00000023,0,True,False,False,False,False
socal-fire_00000560,0,False,False,False,False,True
woolsey-fire_00000617,0,False,False,False,False,True
pinery-bushfire_00000640,0,True,False,True,False,False
hurricane-michael_00000305,0,True,False,False,False,False
sunda-tsunami_00000146,0,True,False,False,False,False
portugal-wildfire_00001636,0,False,False,False,False,True
lower-puna-volcano_00000256,0,False,True,False,True,False
mexico-earthquake_00000150,0,True,False,False,False,False
portugal-wildfire_00000962,0,False,False,False,False,True
moore-tornado_00000149,0,True,True,True,False,False
joplin-tornado_00000043,0,True,True,True,True,False
woolsey-fire_00000437,0,False,False,False,False,True
socal-fire_00001300,0,False,False,False,False,True
hurricane-florence_00000229,0,True,False,False,False,False
pinery-bushfire_00001530,0,False,False,False,False,True
nepal-flooding_00000252,0,False,False,False,False,True
midwest-flooding_00000308,0,True,False,False,False,False
pinery-bushfire_00001185,0,True,False,False,False,False
hurricane-harvey_00000072,0,False,True,True,False,False
santa-rosa-wildfire_00000274,0,False,False,False,True,False
portugal-wildfire_00000594,0,True,False,True,False,False
pinery-bushfire_00001525,0,True,False,False,False,False
hurricane-michael_00000212,0,True,True,True,True,False
santa-rosa-wildfire_00000153,0,True,False,False,False,False
woolsey-fire_00000081,0,True,False,False,False,False
hurricane-florence_00000436,0,False,False,True,False,False
socal-fire_00001177,0,False,False,False,False,False
portugal-wildfire_00001812,0,False,False,False,False,True
pinery-bushfire_00001743,0,False,False,False,False,True
